11,,,,,,,,
Public,,,,,,,,
Private,,,,,,,,
Unverified ,,,,,,,,
,,,,,,,,
ULT_DUNS_NBR,ULT_SUPPLIER_NM,Revenue,SG&A,EBIT,SG&A %,Profit %,SG&A & P,OEM(s)
5146428,ILLINOIS TOOL WORKS INC,"16,044,000,000","2,779,000,000","4,258,000,000",17.32%,26.54%,43.86%,"General Motors, Toyota, Ford, Volkswagen, BMW, Tesla"
556879252,GENTHERM INC,"1,468,728,000","160,556,000","75,865,000",10.93%,5.17%,16.10%,"Ford, General Motors, Toyota, Stellantis, Tesla"
809105351,DANA INC,"9,957,000,000","487,000,000","376,000,000",4.89%,3.78%,8.67%,"Ford, Stellantis, Toyota"
690555925,NIPPON SHEET GLASS CO LTD,"838,717,000,000","153,101,000,000","21,814,000,000",18.25%,2.60%,20.86%,"Toyota, Honda, Volkswagen, Nissan, General Motors"
690535588,AISIN CORP,"5,015,663,000,000","371,967,000,000","278,931,000,000",7.42%,5.56%,12.98%,"Toyota, Volkswagen, BMW, Stellantis"
81174775,GARRETT MOTION INC,"3,537,000,000","237,000,000","501,000,000",6.70%,14.16%,20.87%,"Ford, Volkswagen, BMW, Mercedes, Toyota"
223144058,SENSATA TECHNOLOGIES HOLDING PLC,"3,694,307,000","368,046,000","234,149,000",9.96%,6.34%,16.30%,"Tesla, General Motors, Ford, Volkswagen, Volvo"
687741991,POSCO HOLDINGS INC,"69,095,000,000,000",,"1,827,000,000,000",,2.64%,2.64%,"Hyundai, Kia, General Motors, Ford, Tesla"
79236657,TIMKENSTEEL CORPORATION,"1,131,500,000","92,100,000",-300000,8.14%,-0.03%,8.11%,"General Motors, Ford, Stellantis"
687735407,HANKOOK & COMPANY CO LTD,"1,414,556,850,070","53,248,230,000","354,112,033,800",3.76%,25.03%,28.80%,"Tesla, BMW, Hyundai, Kia"
315342345,ELRINGKLINGER AG,"1,678,943,000","261,471,000","-99,351,000",15.57%,-5.92%,9.66%,"Volkswagen, Mercedes, BMW, Tesla"
689285091,SUNGWOO HITECH CO LTD,"4,432,428,351,070","117,355,086,000","316,787,380,690.00",2.65%,7.15%,9.79%,"Kia, Hyundai, Volkswagen, General Motors"
864393322,MINTH GROUP LTD,"24,343,678,000","2,729,150,000","3,513,675,000",11.21%,14.43%,25.64%,"Tesla, General Motors, Toyota, Mercedes, Volkswagen"
316255108,FREUDENBERG CO KOMMANDITGESELLSC,,,,,,0.00%,
688001481,DN AUTOMOTIVE CORPORATION,,,,,,0.00%,
690635255,NIDEC CORP,15130271385,1406755624,1275555985,9.30%,8.43%,17.73%,"Toyota, Honda, Stellantis, General Motors, Ford"
353945744,AB SKF,10977245837,1411490434,1149629715,12.86%,10.47%,23.33%,"Volkswagen, BMW, Ford, General Motors"
313224928,MANN + HUMMEL INTERNATIONAL GMBH,,,,,,0.00%,
738162205,NEXANS,7631733500,722545000,542501000,9.47%,7.11%,16.58%,"Stellantis, Volkswagen, BMW, Mercedes"
690569256,NITERRA CO LTD,3733301102,368723007,414491072,9.88%,11.10%,20.98%,"Toyota, Honda, Volkswagen, Ford, General Motors"
654532019,FUYAO GLASS INDUSTRY GROUP CO LTD,4800723851,654361202,839667029,13.63%,17.49%,31.12%,"Volkswagen, General Motors, Ford, Toyota, Tesla, Subaru"
49746014,PARK-OHIO HOLDINGS CORP,1665000000,105000000,73000000,6.31%,4.38%,10.69%,"General Motors, Ford, Stellantis"
690579347,KOITO MANUFACTURING CO LTD,6125797718,326680848,360961774,5.33%,5.89%,11.23%,"Toyota, Honda, Subaru"
78423447,PHILLIPS 66,147399000000,9386000000,7950000000,6.37%,5.39%,11.76%,
595240953,FLEX LTD,26415000000,992000000,873000000,3.76%,3.30%,7.06%,"Tesla, General Motors, Ford"
687735738,DAE-WON KANG UP CO LTD,29034483,2068966,1379310,7.13%,4.75%,11.88%,"Hyundai, Kia, General Motors"
690542048,ISUZU MOTORS LIMITED,21889737639,1824276413,1869399858,8.33%,8.54%,16.87%,
471743500,CIE AUTOMOTIVE SA,4887247000,289018000,615940000,5.91%,12.60%,18.52%,"Volkswagen, Stellantis, Ford, BMW, General Motors"
529097904,ZHEJIANG ZHOUSHAN DAIMAY INVESTMENT,,,,,,0.00%,
436854350,PIRELLI & CO SPA,7910091000,926279000,1170286000,11.71%,14.79%,26.50%,"BMW, Mercedes, Audi"
220607205,TI FLUID SYSTEMS PLC,4246432500,258221000,316261500,6.08%,7.45%,13.53%,"Volkswagen, Stellantis, Ford, BMW, General Motors"
201122988,CAPITAL REGIONAL ET COOPERATIF DESJ,,,,,,0.00%,
690554894,EXEDY CORPORATION,2081280217,150841230,117320957,7.25%,5.64%,12.88%,"Toyota, Honda, Nissan, Subaru"
260817951,FINANCIERE SEVERT,,,,,,0.00%,
315192739,AEQUITA SE & CO KGAA,,,,,,0.00%,
690570072,NIPPON STEEL CORPORATION,57183832914,2230387417,5020950171,3.90%,8.78%,12.68%,"Toyota, Honda, Nissan, General Motors"
898699483,IOCHPE MAXION SA,2804214559,197701149,159578544,7.05%,5.69%,12.74%,"Volkswagen, Stellantis, General Motors, Ford, Toyota"
466915501,ACEK DESARROLLO Y GESTION INDUSTRIA,,,,,,0.00%,
315447854,J&J MARQUARDT KG,,,,,,0.00%,
688317614,KWANG JIN MACHINE CO LTD,,,,,,0.00%,
491031507,STICHTING ADMINISTRATIEKANTOOR GERA,,,,,,0.00%,
690544341,TOPY INDUSTRIES LTD,"19,033,216,000,012","242,790,400","52,761,600",0.00%,0.00%,0.00%,"General Motors, Toyota, Ford, Honda, Nissan, Stellantis"
353957822,SSAB AB,"10,633,512,750","703,191,038","671,473,950",6.61%,6.31%,12.93%,Volvo
53668729,JSJ CORP,,,,,,0.00%,
116725527,DAYCO LLC,,,,,,0.00%,
423792808,SHELL PLC,"266,886,000,000","12,607,000,000","30,713,000,000",4.72%,11.51%,16.23%,"Volkswagon, Hyundai, Stellantis"
527651909,NINGBO JIFENG AUTO PARTS CO LTD,"3,109,172,188","270,122,040","80,075,418",8.69%,2.58%,11.26%,"BMW, Audi, Volkswagon, General Motors, Tesla, Ford"
147743983,HUSCO INTERNATIONAL INC,,,,,,0.00%,
177220647,AMPHENOL CORP,"23,094,700,000","1,900,100,000","6,048,400,000",8.23%,26.19%,34.42%,"General Motors, Audi, BMW, Nissan"
688298116,LG ELECTRONICS INC,"61,720,261,996","12,705,942,598","1,714,864,955",20.59%,2.78%,23.36%,"General Motors, Toyota, Hyundai, Mercedes, Renault"
690555214,TSUBAKIMOTO CHAIN CO,"1,819,545,186","386,178,437","140,183,908",21.22%,7.70%,28.93%,"Toyota, Ford, General Motors, Nissan, Honda"
966151354,ANGSTROM AUTOMOTIVE GROUP LLC,,,,,,0.00%,
534306066,MK AUTOMOTIVE INDUSTRIES LTD,,,,,,0.00%,
5375217,MELLING TOOL CO,,,,,,0.00%,
400652919,STABILUS SA,"1,487,931,519","237,604,585","123,073,270",15.97%,8.27%,24.24%,"Volkswagen, BMW, Ford, Tesla, General Motors"
78889261,JASON HOLDINGS INC,,,,,,0.00%,
966106817,UNIFRAX HOLDING CO,,,,,,0.00%,
7140064,LEGGETT & PLATT INC,"4,055,100,000","488,300,000","239,600,000",12.04%,5.91%,17.95%,"General Motors, Toyota, Ford"
80341654,"GENESEE GROUP INC, THE",,,,,,0.00%,
544091510,PRYSMIAN SPA,"22,994,527,590","2,556,258,210","1,854,378,360",11.12%,8.06%,19.18%,"Ford, Toyota, Stellantis, General Motors, Volkswagen, Hyundai, Kia"
530708205,YAPP AUTOMOTIVE SYSTEMS CO LTD,,,,,,0.00%,
342192765,CHRISTA UND HERMANN LAUR-STIFTUNG,,,,,,0.00%,
275133692,COMPAGNIE DE SAINT-GOBAIN,"55,394,245,170","9,256,556,610","6,185,979,720",16.71%,11.17%,27.88%,"Volkswagen, BMW, Mercedes, Ford, Toyota, General Motors"
4160511,STEERE ENTERPRISES INC,,,,,,0.00%,
253602692,IFASTGROUPE 2004 LP,,,,,,0.00%,
969132880,ALLISON TRANSMISSION HOLDINGS INC,"3,069,000,000","310,000,000","988,000,000",10.10%,32.19%,42.29%,Volvo
690552633,MITSUBISHI STEEL MFG CO LTD,"1,009,517,718","104,978,228","29,133,733",10.40%,2.89%,13.28%,"Ford, Stellantis, Volkswagen, BMW, General Motors, Tesla"
201648052,EXCO TECHNOLOGIES LTD,"454,282,263","37,340,512","29,200,658",8.22%,6.43%,14.65%,"Toyota, Honda, Nissan"
302978150,PIERER KONZERNGELLSCHAFT MBH,,,,,,0.00%,
687755488,HYUNDAI MOBIS CO LTD,"41,813,576,960","2,381,868,127","2,361,815,472",5.70%,5.65%,11.34%,"Hyundai, Kia"
485203835,TE CONNECTIVITY LTD,"18,095,000,000","1,979,000,000","3,606,000,000",10.94%,19.93%,30.86%,"General Motors, BMW, Ford, Toyota, Tesla, Volkswagen"
667307193,LUXSHARE LTD,"45,237,201,337","1,430,468,870","1,851,270,872",3.16%,4.09%,7.25%,"Tesla, General Motors, Volvo, Mercedes, BMW, Honda"
243908980,RODFAM HOLDINGS LTD,,,,,,0.00%,
812757799,NYX MEXICO PLASTICS S DE RL DE CV,,,,,,0.00%,
794738273,DEBOTECH INC,,,,,,0.00%,
926078874,MORRIS HOLDING CO LLC,,,,,,0.00%,
2134864,MCGARD LLC,,,,,,0.00%,
420720559,ANHUI ZHONGDING SEALING PARTS CO LT,"2,737,639,807","218,849,747","302,690,677",7.99%,11.06%,19.05%,"Volkswagen, General Motors, BMW, Ford, Volvo, Renault, Nissan, Mercedes"
7132145,QUALITY ENGINEERING,,,,,,0.00%,
654137264,ZHENGZHOU COAL MINING MACHINERY GRP,"532,433,620","63,483,942","-15,706,766",11.92%,-2.95%,8.97%,"Volkswagen, Mercedes, Nissan, General Motors, Ford, Stellantis"
461071664,CIKAUTXO S COOP,,,,,,0.00%,
43647130,HYSPAN PRECISION PRODUCTS INC,,,,,,0.00%,
690559182,TOYODA GOSEI CO LTD,"7,120,258,488","631,146,993","421,235,706",8.86%,5.92%,14.78%,"Toyota, Honda, Nissan, Ford, General Motors"
606280873,STONERIDGE INC,"874,357,000","119,877,000","-6,538,000",13.71%,-0.75%,12.96%,"Ford, General Motors, Stellantis, Toyota"
1315266,STANDARD MOTOR PRODUCTS INC,"1,749,420,000","369,235,000","169,545,000",21.11%,9.69%,30.80%,"Ford, General Motors, Volvo"
99733271,MIDWEST ACOUST-A-FIBER INC,,,,,,0.00%,
211006279,COSWORTH GROUP HOLDINGS LTD,,,,,,0.00%,
4299418,MID-WEST FABRICATING CO,,,,,,0.00%,
690569751,T RAD CO LTD,"1,054,834,707","62,874,661","80,916,281",5.96%,7.67%,13.63%,"Toyota, Honda, General Motors"
754931889,MIDWAY LTD,,,,,,0.00%,
201781890,ACCURCAST CORP,,,,,,0.00%,
695687668,ILJIN GLOBAL CO LTD,"51,338,800","3,139,318","2,939,320",6.11%,5.73%,11.84%,"Hyundai, General Motors, Ford, Kia, Mercedes"
340502442,THYSSENKRUPP AG,"37,974,648,960","4,891,925,610","-222,950,070",12.88%,-0.59%,12.29%,"Mercedes, BMW, Audi, Tesla"
79668583,HOLLINGSWORTH LOGISTICS GROUP LLC,,,,,,0.00%,
806758178,CRESTVIEW PARTNERS LP,,,,,,0.00%,
2103174,KEYSTONE POWDERED METAL CO,,,,,,0.00%,
127389448,PERFORMANCE ASSEMBLY SOLUTIONS LLC,,,,,,0.00%,
687769307,DY CORPORATION,"836,372,155","47,984,583","33,389,244",5.74%,3.99%,9.73%,"General Motors, Hyundai, Kia"
